Date, open, high,low,close,volume
26-11-2007,140.4224,141.3909,136.7715,137.5559,603405
23-11-2007,137.5172,139.9963,135.5609,138.4178,836389
22-11-2007,135.5803,137.4978,131.7259,134.0308,732593
21-11-2007,137.9045,137.9045,132.4329,132.9655,641227
20-11-2007,137.5172,139.0666,133.6434,137.1007,514267
19-11-2007,137.4978,139.3959,135.1929,136.0839,556060
16-11-2007,132.675,137.982,131.9874,135.222,814478
15-11-2007,138.4856,140.374,134.6119,135.3672,716098
14-11-2007,136.3841,142.553,136.3841,136.9942,730292
13-11-2007,131.7066,147.3951,130.4476,134.1761,813110
12-11-2007,132.4813,134.3988,131.0287,132.6653,532469
08-11-2007,137.8077,140.3837,136.1613,136.8005,686067
07-11-2007,141.3909,142.3399,137.5172,139.8511,691546
06-11-2007,141.5846,146.7269,139.454,140.1222,381636
05-11-2007,146.5236,146.5236,142.3593,143.3374,1841452
02-11-2007,141.9719,147.0078,139.454,146.2718,808310
01-11-2007,150.6878,154.9489,143.3277,144.1606,2317767
31-10-2007,149.7678,155.9464,145.5551,146.756,4477334
30-10-2007,156.8858,158.7645,146.2524,148.6154,2841120
29-10-2007,158.8226,162.0088,154.9489,156.3241,1279109
26-10-2007,153.012,158.4353,151.4626,156.9632,1182071
25-10-2007,150.1067,156.3047,149.1674,153.6512,508167
24-10-2007,155.7236,156.8858,148.7509,150.039,1194950
23-10-2007,153.012,156.2369,151.7047,154.2032,658943
22-10-2007,146.6301,151.6369,146.6301,149.671,675422
19-10-2007,151.0752,153.2541,147.2015,151.2689,451836
18-10-2007,157.8542,159.0163,146.233,151.7918,1222925
17-10-2007,149.5257,157.8542,144.2962,156.5468,1511258
16-10-2007,157.8542,159.7911,155.927,159.055,1093100
15-10-2007,156.3531,159.1519,156.3531,158.4546,755334
12-10-2007,160.9725,162.6963,151.0752,155.3556,1475706
11-10-2007,157.8348,162.6963,155.5396,160.837,2582118
10-10-2007,154.7455,158.6289,153.9902,156.082,1317046
09-10-2007,145.2646,154.5615,145.2646,153.351,1193916
08-10-2007,151.4626,152.431,144.6835,148.0537,8555660
05-10-2007,155.3363,155.3363,148.6154,151.0171,1090872
04-10-2007,153.3994,156.4015,150.5135,154.6777,1629931
03-10-2007,151.0752,156.8858,146.0393,152.9539,1752528
01-10-2007,152.431,152.431,148.1699,149.7291,3738667
28-09-2007,146.233,154.9489,143.5311,150.7169,3251403
27-09-2007,144.8772,147.1434,143.7151,145.3614,1617272
26-09-2007,143.8313,144.2962,140.4224,143.2115,685018
25-09-2007,145.2743,145.2743,142.398,143.4439,780074
24-09-2007,143.9088,146.0393,142.9404,144.3349,600264
21-09-2007,140.4224,144.6835,140.4224,143.5214,686433
20-09-2007,140.926,144.6835,140.4224,141.7782,1211653
19-09-2007,137.5172,142.1656,136.9361,139.8801,1786890
18-09-2007,135.3672,135.9386,134.0308,134.7668,407988
17-09-2007,134.2245,136.5487,132.8687,134.8637,651559
14-09-2007,137.1298,137.1298,133.6531,134.3794,580596
13-09-2007,132.8687,135.3866,132.675,134.5344,664198
12-09-2007,135.5222,135.5803,132.0939,132.7428,2245020
11-09-2007,136.355,137.1298,133.1205,133.5756,985766
10-09-2007,132.8687,136.6456,132.2973,136.1323,1165853
07-09-2007,139.6477,139.6477,134.4472,134.9024,868325
06-09-2007,133.6434,138.6599,133.6434,137.8658,1421082
05-09-2007,135.1542,137.9045,133.0624,135.2413,2060801
04-09-2007,136.1517,136.1517,131.9196,133.8371,2052692
03-09-2007,136.7424,137.2073,133.934,136.1517,1629321
31-08-2007,133.2561,137.6818,132.6944,135.9386,2167206
30-08-2007,132.675,135.3866,131.3192,132.0746,3171398
29-08-2007,126.8741,131.1255,124.9469,130.7381,7347733
28-08-2007,131.387,131.387,127.4455,128.4236,6160825
27-08-2007,127.4455,132.675,127.4455,130.9899,928486
24-08-2007,120.6665,128.1621,120.6374,127.3777,2129989
23-08-2007,122.0223,124.3368,119.5043,120.4921,1629394
22-08-2007,123.3781,124.5014,119.3397,119.882,3029592
21-08-2007,127.8328,127.8328,121.538,122.8551,2452507
20-08-2007,127.6392,129.576,124.9469,125.8088,1667842
17-08-2007,127.8328,129.5373,123.7654,124.1915,2564700
16-08-2007,129.7697,130.7381,126.3608,128.4817,780361
14-08-2007,134.6119,134.9992,131.968,133.934,1189460
13-08-2007,132.4813,134.5634,129.7697,134.0695,2463273
10-08-2007,126.6707,130.1571,125.6055,129.5857,992508
09-08-2007,128.8013,131.8034,127.8328,128.4139,2088995
08-08-2007,128.2202,130.1571,126.8644,128.0265,5123007
07-08-2007,128.6076,129.3823,126.7676,127.2905,7002223
06-08-2007,127.1065,127.1065,124.0075,125.8185,1345908
03-08-2007,126.8644,129.1886,126.8063,127.1065,1343659
02-08-2007,145.2646,145.2646,125.3343,126.3221,4332147
01-08-2007,134.5731,134.5731,128.0072,129.208,2356012
31-07-2007,137.7108,139.8414,132.9171,135.4447,7133514
30-07-2007,136.1613,137.5172,134.2826,136.9748,1052925
27-07-2007,141.9719,141.9719,134.6119,135.5706,2191194
26-07-2007,141.0035,147.6663,140.3256,141.5168,2585682
25-07-2007,144.2962,144.2962,140.0835,140.6064,1826105
24-07-2007,149.7194,149.9131,143.9282,144.7416,898914
23-07-2007,147.2015,151.0752,146.7269,149.3611,805857
20-07-2007,151.2979,153.2057,147.3951,148.5766,2314464
19-07-2007,151.6756,153.012,143.8797,150.6975,1900888
18-07-2007,145.2452,145.2452,141.6039,143.9282,943869
17-07-2007,147.2015,148.6928,144.548,145.0322,1289055
16-07-2007,148.8478,150.959,145.7004,147.0465,3771416
13-07-2007,147.153,149.5063,143.7829,148.596,2479835
12-07-2007,141.6717,144.2962,140.8098,143.2309,977407
11-07-2007,143.5214,143.5214,141.0132,141.7782,662382
10-07-2007,139.4346,145.0515,139.0666,144.209,2748679
09-07-2007,138.1466,139.9189,137.7205,138.6212,1256201
06-07-2007,137.7883,139.0666,135.2413,137.6334,970545
05-07-2007,135.9677,137.9529,134.8346,137.0426,866717
04-07-2007,134.6119,136.5487,133.0914,135.1348,1064134
03-07-2007,132.8687,134.4956,132.4813,133.2464,899039
02-07-2007,129.7697,133.2561,128.8013,132.491,1410217
29-06-2007,129.3823,130.7285,128.8303,129.7213,271442
28-06-2007,130.7188,130.7188,128.0265,128.7916,723127
27-06-2007,133.4497,133.4497,129.0434,130.1377,800576
26-06-2007,131.1255,133.0624,130.1571,132.5588,983517
25-06-2007,132.675,132.675,130.5445,131.1546,492440
22-06-2007,133.411,133.411,130.4863,132.5685,1042081
21-06-2007,133.6919,135.0961,132.0939,133.0527,2382954
20-06-2007,128.995,133.6434,128.995,133.043,2715501
19-06-2007,125.8572,128.8884,125.5086,128.5011,974594
18-06-2007,126.2834,127.2518,124.5402,124.9953,1471641
15-06-2007,125.896,127.4261,124.9663,125.9735,2256772
14-06-2007,126.8644,128.2202,123.5233,124.4724,2975468
13-06-2007,124.5402,127.2324,124.2109,125.0631,1350719
12-06-2007,127.4261,127.4261,122.9907,124.2206,1405792
11-06-2007,128.2202,128.8013,125.1212,126.2446,1776616
08-06-2007,130.5445,130.6026,125.9057,126.5933,1670649
07-06-2007,132.2876,134.5925,130.4573,131.1836,1697977
06-06-2007,137.3235,137.5172,131.6678,133.0624,2957773
05-06-2007,138.4856,139.6283,137.1298,137.7012,819988
04-06-2007,143.2309,143.2309,137.1298,137.798,3693445
01-06-2007,146.1749,147.2015,143.812,144.7126,1985799
31-05-2007,144.2962,147.2983,144.1122,146.7172,2376509
30-05-2007,143.3277,144.2768,142.7467,143.7442,4852572
29-05-2007,142.7467,144.1993,142.3012,143.5408,1611584
28-05-2007,142.0688,143.5214,140.9067,142.0591,1471850
25-05-2007,137.5172,141.3134,136.5487,140.7711,1706702
24-05-2007,137.5172,138.873,136.5487,137.9045,1515652
23-05-2007,141.294,143.2309,136.6649,137.1201,3190350
22-05-2007,140.4224,143.5214,140.4031,140.7808,1569186
21-05-2007,145.1,145.7488,139.8608,140.3643,2125914
18-05-2007,145.0709,146.6204,143.134,143.8604,2013727
